"HHINCOME","FAMSIZE","NCHILD","YNGCH","SEX","AGE","MARST","RACE","RACED","SPEAKENG","RACWHT","EDUC","EDUCD","EMPSTAT","EMPSTATD","CLASSWKR","CLASSWKRD","OCC","WKSWORK1","UHRSWORK","WORKEDYR","INCWAGE","OCCSCORE","VETDISAB","PWSTATE2","PWCOUNTY"
158600,2,0,99,2,35,1,8,818,3,2,8,81,1,10,2,22,4700,52,50,3,34600,42,0,39,61
106000,1,0,99,1,25,2,1,100,3,2,6,61,1,10,2,22,6260,25,40,3,20000,20,0,39,35
3000,2,0,99,1,32,6,1,100,4,2,6,64,1,10,2,22,9620,10,16,3,3000,20,0,39,49
202000,1,0,99,1,34,6,1,100,3,2,10,101,1,10,2,22,710,52,40,3,200000,45,0,39,35
77600,3,0,99,1,33,6,1,100,3,2,6,64,1,10,2,22,9610,52,40,3,20800,20,0,39,153
185090,4,1,9,2,29,6,2,200,3,1,7,71,1,10,2,22,9050,52,40,3,28000,19,0,39,113
99400,5,2,8,1,34,1,1,100,4,2,7,71,1,10,2,22,9030,52,15,3,85000,52,0,39,0
133000,2,0,99,1,31,1,1,100,3,2,10,101,1,10,2,22,9030,48,50,3,40000,52,0,39,113
97800,3,0,99,2,34,6,2,200,3,1,10,101,1,10,2,22,1860,52,60,3,35000,39,0,39,0
132200,5,3,3,1,34,1,1,100,4,2,10,101,1,10,2,22,710,52,40,3,77000,45,0,39,61
82600,3,1,0,1,30,4,1,100,3,2,7,71,1,10,2,22,800,52,40,3,61000,38,0,39,49
40000,4,2,5,1,30,1,1,100,3,2,10,101,1,10,1,13,2634,52,40,3,0,38,0,39,49
140300,4,2,4,1,34,1,1,100,3,2,7,71,1,10,2,22,440,52,50,3,140000,42,0,39,0
185000,2,0,99,1,33,1,1,100,4,2,10,101,1,10,2,22,220,52,50,3,150000,42,0,39,49
83210,2,0,99,1,28,1,1,100,3,2,10,101,1,10,2,23,2320,52,60,3,23900,27,0,39,61
154000,1,0,99,1,33,6,8,801,3,2,6,63,1,10,2,22,9005,52,50,3,45000,42,0,39,49
210000,2,0,99,1,34,1,6,610,4,1,10,101,1,10,2,22,1400,52,40,3,110000,46,0,39,49
194800,3,1,0,1,35,1,1,100,3,2,5,50,1,10,2,22,7315,52,40,3,78000,30,0,39,49
94000,4,2,11,1,34,1,1,100,3,2,11,114,1,10,2,22,7700,52,65,3,94000,38,1,39,0
123000,3,0,99,1,27,6,1,100,3,2,11,114,1,10,2,22,705,52,40,3,43000,42,0,39,61
67200,4,2,6,2,34,1,1,100,3,2,8,81,1,10,2,22,2360,52,40,3,35600,20,0,39,17
28400,3,1,1,1,29,1,4,400,5,1,6,65,1,10,2,22,4020,52,52,3,14400,16,0,39,0
6500,1,0,99,2,32,6,1,100,3,2,7,71,1,10,2,22,3421,26,28,3,6500,25,0,39,61
148000,4,2,0,1,31,1,1,100,3,2,11,114,1,10,2,22,3258,52,45,3,100000,21,0,39,113
48000,1,0,99,2,33,6,1,100,3,2,11,114,1,10,2,23,2002,52,40,3,48000,33,0,39,17
149500,3,0,99,1,25,6,1,100,3,2,6,63,1,10,2,22,8140,52,40,3,52000,31,0,39,0
53800,2,0,99,1,35,1,1,100,3,2,10,101,1,10,2,22,5740,52,40,3,20000,22,0,39,61
55500,5,3,0,2,32,1,1,100,3,2,10,101,1,10,2,22,3323,52,24,3,40500,25,0,39,17
55500,5,3,0,1,33,1,1,100,3,2,6,65,1,10,1,13,6442,40,35,3,10000,33,0,39,165
32500,1,0,99,1,31,6,1,100,3,2,6,63,1,10,2,22,6442,52,40,3,30000,33,0,39,17
58400,1,0,99,2,35,2,1,100,3,2,10,101,1,10,2,22,5330,52,40,3,50000,25,0,39,61
55000,3,1,5,1,35,1,7,700,6,1,0,2,1,10,2,22,9640,52,40,3,30000,23,0,39,0
137000,3,1,2,1,29,1,1,100,3,2,10,101,1,10,2,22,1460,52,40,3,68000,46,0,39,17
137000,3,1,2,2,29,1,1,100,3,2,11,116,1,10,2,23,3160,52,40,3,69000,26,0,39,61
135000,3,1,1,1,30,1,1,100,3,2,8,81,1,10,2,22,6355,52,50,3,75000,34,0,39,61
73500,4,0,99,2,25,6,1,100,3,2,10,101,1,10,2,22,2440,52,40,3,38000,13,0,39,17
160000,2,0,99,1,27,6,1,100,3,2,10,101,1,10,2,22,1430,52,40,3,90000,45,0,39,165
160000,2,0,99,2,27,6,1,100,3,2,10,101,1,10,2,23,3255,52,40,3,70000,21,0,39,61
79000,2,0,99,1,26,1,1,100,3,2,8,81,1,10,2,22,5610,48,40,3,69000,26,0,39,61
